Date first seen,Duration,Proto,Src IP Addr,Src Pt,Dst IP Addr,Dst Pt,Packets,Bytes,Flows,Flags,Tos,class,attackType,attackID,attackDescription
2017-03-15 00:01:16.632,    0.000,TCP  ,192.168.100.5,   445,192.168.220.16, 58844,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:16.552,    0.000,TCP  ,192.168.100.5,   445,192.168.220.15, 48888,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:16.551,    0.004,TCP  ,192.168.220.15, 48888,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:16.631,    0.004,TCP  ,192.168.220.16, 58844,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:16.552,    0.000,TCP  ,192.168.100.5,   445,192.168.220.15, 48888,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:16.631,    0.004,TCP  ,192.168.220.16, 58844,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.432,    0.000,TCP  ,192.168.220.9, 37884,192.168.100.5,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:17.431,    0.000,TCP  ,192.168.100.5,   445,192.168.220.9, 37884,       1,      70,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.432,    0.000,TCP  ,192.168.220.9, 37884,192.168.100.5,   445,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:17.776,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45061,       1,     358,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.782,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45558,       1,     372,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.777,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45487,       1,     357,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.749,    0.082,TCP  ,10000_35,   443,192.168.220.16, 45585,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.748,    0.083,TCP  ,10000_35,   443,192.168.220.16, 45583,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.750,    0.089,TCP  ,10001_232,   443,192.168.220.16, 51138,       5,     498,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.748,    0.083,TCP  ,10000_35,   443,192.168.220.16, 45584,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.750,    0.089,TCP  ,10000_35,   443,192.168.220.16, 45588,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.749,    0.086,TCP  ,10000_35,   443,192.168.220.16, 45586,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.827,    0.000,UDP  ,192.168.210.4,   138,192.168.210.255,   138,       1,     243,    1,......,  0,normal,---,---,---
2017-03-15 00:01:17.728,    0.000,UDP  ,192.168.220.16, 35549,DNS,    53,       1,      73,    1,......,  0,normal,---,---,---
2017-03-15 00:01:17.728,    0.051,TCP  ,192.168.220.16, 45588,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.760,    0.023,TCP  ,192.168.220.16, 45558,10000_35,   443,       2,     598,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.727,    0.044,TCP  ,192.168.220.16, 45584,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.728,    0.047,TCP  ,192.168.220.16, 45586,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.727,    0.048,TCP  ,192.168.220.16, 45585,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.754,    0.021,TCP  ,192.168.220.16, 45061,10000_35,   443,       2,     641,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.727,    0.044,TCP  ,192.168.220.16, 45583,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:17.755,    0.024,TCP  ,192.168.220.16, 45487,10000_35,   443,       2,     633,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:17.728,    0.051,TCP  ,192.168.220.16, 51138,10001_232,   443,       6,     972,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:18.403,    0.000,UDP  ,DNS,    53,192.168.220.16, 32777,       2,     533,    1,......,  0,normal,---,---,---
2017-03-15 00:01:18.511,    0.003,TCP  ,10002_113,   443,192.168.220.16, 49062,       2,    1089,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:18.401,    0.000,UDP  ,192.168.220.16, 32777,DNS,    53,       2,     144,    1,......,  0,normal,---,---,---
2017-03-15 00:01:18.401,    0.113,TCP  ,192.168.220.16, 49062,10002_113,   443,       2,    1265,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:18.769,    0.000,UDP  ,DNS,    53,192.168.220.16, 35549,       1,     224,    1,......,  0,normal,---,---,---
2017-03-15 00:01:18.665,    0.000,UDP  ,DNS,    53,192.168.220.16, 56225,       2,     533,    1,......,  0,normal,---,---,---
2017-03-15 00:01:18.772,    0.003,TCP  ,10002_114,   443,192.168.220.16, 55975,       2,    1089,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:18.457,    0.170,TCP  ,10003_195,    80,192.168.220.16, 48286,       3,     908,    1,.AP.S., 32,normal,---,---,---
2017-03-15 00:01:18.664,    0.000,UDP  ,192.168.220.16, 56225,DNS,    53,       2,     144,    1,......,  0,normal,---,---,---
2017-03-15 00:01:18.664,    0.111,TCP  ,192.168.220.16, 55975,10002_114,   443,       3,    1815,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:18.301,    0.326,TCP  ,192.168.220.16, 48286,10003_195,    80,       5,    2409,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:20.523,    0.000,TCP  ,10001_232,   443,192.168.220.16, 51113,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:20.503,    0.000,TCP  ,192.168.220.16, 51113,10001_232,   443,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:21.703,    0.000,TCP  ,192.168.100.5,   445,192.168.220.5, 51146,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:21.701,    0.003,TCP  ,192.168.220.5, 51146,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:21.702,    0.000,TCP  ,192.168.100.5,   445,192.168.220.5, 51146,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:21.701,    0.003,TCP  ,192.168.220.5, 51146,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:22.400,    0.000,TCP  ,EXT_SERVER,  8082,192.168.220.15, 37039,       1,     212,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:22.383,    0.021,TCP  ,192.168.220.15, 37039,EXT_SERVER,  8082,       2,     338,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:22.891,    0.000,TCP  ,10001_232,    80,192.168.220.16, 49671,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:22.871,    0.000,TCP  ,192.168.220.16, 49671,10001_232,    80,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:24.412,    0.018,TCP  ,192.168.220.14, 48380,EXT_SERVER,  8082,       2,     338,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:24.152,    0.266,TCP  ,192.168.200.9, 52290,EXT_SERVER,  8082,       2,     319,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:24.168,    0.000,TCP  ,EXT_SERVER,  8082,192.168.200.9, 52290,       1,     200,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:24.427,    0.000,TCP  ,EXT_SERVER,  8082,192.168.220.14, 48380,       1,     212,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:26.096,    0.083,TCP  ,10000_35,   443,192.168.220.16, 45608,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.096,    0.091,TCP  ,10000_35,   443,192.168.220.16, 45609,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.096,    0.091,TCP  ,10001_232,   443,192.168.220.16, 51161,       5,     498,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.096,    0.083,TCP  ,10000_35,   443,192.168.220.16, 45606,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.096,    0.083,TCP  ,10000_35,   443,192.168.220.16, 45607,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.099,    0.088,TCP  ,10000_35,   443,192.168.220.16, 45611,       4,     419,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.076,    0.055,TCP  ,192.168.220.16, 45611,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.075,    0.052,TCP  ,192.168.220.16, 51161,10001_232,   443,       6,     972,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.075,    0.044,TCP  ,192.168.220.16, 45607,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.075,    0.052,TCP  ,192.168.220.16, 45609,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.075,    0.044,TCP  ,192.168.220.16, 45606,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.075,    0.048,TCP  ,192.168.220.16, 45608,10000_35,   443,       5,     906,    1,.AP.S.,  0,normal,---,---,---
2017-03-15 00:01:26.744,    0.000,UDP  ,DNS,    53,192.168.220.16, 39898,       2,     533,    1,......,  0,normal,---,---,---
2017-03-15 00:01:27.015,    0.001,UDP  ,DNS,    53,192.168.220.16, 43120,       2,     533,    1,......,  0,normal,---,---,---
2017-03-15 00:01:26.742,    0.000,UDP  ,192.168.220.16, 39898,DNS,    53,       2,     144,    1,......,  0,normal,---,---,---
2017-03-15 00:01:27.007,    0.000,UDP  ,192.168.220.8,   137,192.168.220.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-03-15 00:01:26.699,    0.000,UDP  ,192.168.200.4,   137,192.168.200.255,   137,       1,      92,    1,......,  0,normal,---,---,---
2017-03-15 00:01:27.014,    0.000,UDP  ,192.168.220.16, 43120,DNS,    53,       2,     144,    1,......,  0,normal,---,---,---
2017-03-15 00:01:27.819,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45558,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:27.819,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45487,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:27.799,    0.000,TCP  ,192.168.220.16, 45558,10000_35,   443,       1,      66,    1,.A....,  0,normal,---,---,---
2017-03-15 00:01:28.260,    0.000,TCP  ,192.168.100.5,   445,192.168.220.7, 37191,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:28.259,    0.005,TCP  ,192.168.220.7, 37191,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:29.452,    0.000,TCP  ,192.168.200.4,    25,192.168.220.16, 51431,       1,      54,    1,.A.R..,  0,victim,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:29.451,    0.000,TCP  ,192.168.220.16, 51431,192.168.200.4,    25,       1,      58,    1,....S.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:29.432,    0.000,TCP  ,192.168.100.5,   445,192.168.220.14, 52321,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:29.431,    0.004,TCP  ,192.168.220.14, 52321,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:30.454,    0.000,TCP  ,192.168.200.9,   135,192.168.220.16, 51491,       1,      58,    1,.A..S.,  0,victim,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:30.453,    0.003,TCP  ,192.168.220.16, 51491,192.168.200.9,   135,       2,     112,    1,...RS.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:30.742,    0.000,TCP  ,192.168.100.5,   445,192.168.220.13, 60689,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:30.740,    0.003,TCP  ,192.168.220.13, 60689,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:31.086,    0.000,TCP  ,192.168.100.5,   445,192.168.200.4, 43183,       1,     108,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:31.453,    0.000,TCP  ,192.168.200.1, 52822,192.168.220.16, 51357,       1,      54,    1,.A.R..,  0,victim,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:31.085,    0.002,TCP  ,192.168.200.4, 43183,192.168.100.5,   445,       2,     174,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:31.454,    0.000,TCP  ,192.168.220.16, 51357,192.168.200.1, 52822,       1,      58,    1,....S.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:31.987,    0.000,TCP  ,EXT_SERVER,  8082,192.168.220.9, 50807,       1,     212,    1,.AP..., 32,normal,---,---,---
2017-03-15 00:01:31.969,    0.018,TCP  ,192.168.220.9, 50807,EXT_SERVER,  8082,       2,     338,    1,.AP...,  0,normal,---,---,---
2017-03-15 00:01:32.456,    0.000,TCP  ,192.168.200.5, 10616,192.168.220.16, 51357,       1,      54,    1,.A.R..,  0,victim,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:32.455,    0.000,TCP  ,192.168.220.16, 51357,192.168.200.5, 10616,       1,      58,    1,....S.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:33.456,    0.000,TCP  ,192.168.200.2,  8045,192.168.220.16, 51357,       1,      54,    1,.A.R..,  0,victim,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:33.456,    0.000,TCP  ,192.168.220.16, 51357,192.168.200.2,  8045,       1,      58,    1,....S.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:34.457,    0.000,TCP  ,192.168.220.16, 51357,192.168.200.8,  2033,       1,      58,    1,....S.,  0,attacker,portScan,1,nmap args: -sS -T 1
2017-03-15 00:01:36.171,    0.000,TCP  ,10000_35,   443,192.168.220.16, 45061,       1,      66,    1,.A....,  0,normal,---,---,---
